-7.450331	-7.450331	9.099475
-7.450331	-7.350993	9.107813
-7.450331	-7.251656	9.115951
-7.450331	-7.152318	9.123889
-7.450331	-7.052980	9.131624
-7.450331	-6.953642	9.139155
-7.450331	-6.854305	9.146481
-7.450331	-6.754967	9.153600
-7.450331	-6.655629	9.160510
-7.450331	-6.556291	9.167210
-7.450331	-6.456954	9.173699
-7.450331	-6.357616	9.179974
-7.450331	-6.258278	9.186035
-7.450331	-6.158940	9.191880
-7.450331	-6.059603	9.197507
-7.450331	-5.960265	9.202915
-7.450331	-5.860927	9.208102
-7.450331	-5.761589	9.213067
-7.450331	-5.662252	9.217808
-7.450331	-5.562914	9.222324
-7.450331	-5.463576	9.226613
-7.450331	-5.364238	9.230674
-7.450331	-5.264901	9.234505
-7.450331	-5.165563	9.238106
-7.450331	-5.066225	9.241473
-7.450331	-4.966887	9.244607
-7.450331	-4.867550	9.247505
-7.450331	-4.768212	9.250167
-7.450331	-4.668874	9.252590
-7.450331	-4.569536	9.254773
-7.450331	-4.470199	9.256716
-7.450331	-4.370861	11.141505
-7.450331	-4.271523	11.151629
-7.450331	-4.172185	11.161542
-7.450331	-4.072848	11.171244
-7.450331	-3.973510	11.180733
-7.450331	-3.874172	11.190007
-7.450331	-3.774834	11.199065
-7.450331	-3.675497	11.207906
-7.450331	-3.576159	11.216529
-7.450331	-3.476821	11.224932
-7.450331	-3.377483	11.233114
-7.450331	-3.278146	11.241073
-7.450331	-3.178808	11.248809
-7.450331	-3.079470	11.256320
-7.450331	-2.980132	11.263605
-7.450331	-2.880795	11.270663
-7.450331	-2.781457	11.277493
-7.450331	-2.682119	11.284094
-7.450331	-2.582781	11.290464
-7.450331	-2.483444	11.296603
-7.450331	-2.384106	11.302509
-7.450331	-2.284768	11.308182
-7.450331	-2.185430	11.313621
-7.450331	-2.086093	11.318825
-7.450331	-1.986755	11.323792
-7.450331	-1.887417	11.328523
-7.450331	-1.788079	11.333016
-7.450331	-1.688742	11.337270
-7.450331	-1.589404	11.341285
-7.450331	-1.490066	11.345061
